path,age,elderly
data\non_elderly\36_0_3_20170119183044775.jpg.chip.jpg,36,0
data\non_elderly\46_1_1_20170116161237892.jpg.chip.jpg,46,0
data\non_elderly\1_1_1_20170109194626438.jpg.chip.jpg,1,0
data\aligned_clean\70_0_0_20170111171747665.jpg.chip.jpg,70,1
data\aligned_clean\79_0_0_20170111222511980.jpg.chip.jpg,79,1
data\non_elderly\54_1_3_20170119211351832.jpg.chip.jpg,54,0
data\non_elderly\54_1_1_20170117171655227.jpg.chip.jpg,54,0
data\aligned_clean\67_1_0_20170110153312575.jpg.chip.jpg,67,1
data\non_elderly\54_0_0_20170104211558436.jpg.chip.jpg,54,0
data\non_elderly\12_1_0_20170109204750280.jpg.chip.jpg,12,0
data\non_elderly\35_0_1_20170117121610224.jpg.chip.jpg,35,0
data\non_elderly\57_0_3_20170119211458431.jpg.chip.jpg,57,0
data\non_elderly\55_0_0_20170117190032456.jpg.chip.jpg,55,0
data\non_elderly\21_1_1_20170112233456816.jpg.chip.jpg,21,0
data\non_elderly\13_1_0_20170109204439327.jpg.chip.jpg,13,0
data\non_elderly\57_1_0_20170105172541837.jpg.chip.jpg,57,0
data\non_elderly\4_1_0_20170109191135825.jpg.chip.jpg,4,0
data\non_elderly\58_1_3_20170109150757996.jpg.chip.jpg,58,0
data\non_elderly\5_1_2_20170109193543217.jpg.chip.jpg,5,0
data\aligned_clean\72_0_0_20170111210555874.jpg.chip.jpg,72,1
data\non_elderly\40_1_1_20170112231359349.jpg.chip.jpg,40,0
data\non_elderly\30_1_1_20170116022055600.jpg.chip.jpg,30,0
data\non_elderly\33_1_0_20170103182556882.jpg.chip.jpg,33,0
data\non_elderly\58_0_3_20170119211734608.jpg.chip.jpg,58,0
data\non_elderly\38_1_2_20170108224407554.jpg.chip.jpg,38,0
data\non_elderly\13_0_0_20170110220242419.jpg.chip.jpg,13,0
data\aligned_clean\80_1_0_20170110131652409.jpg.chip.jpg,80,1
data\non_elderly\11_1_0_20170109204546617.jpg.chip.jpg,11,0
data\non_elderly\56_0_2_20170112215424904.jpg.chip.jpg,56,0
data\non_elderly\48_1_3_20170104220351694.jpg.chip.jpg,48,0
data\non_elderly\24_0_4_20161219192105922.jpg.chip.jpg,24,0
data\aligned_clean\85_1_0_20170120222635457.jpg.chip.jpg,85,1
data\non_elderly\48_0_0_20170104184737717.jpg.chip.jpg,48,0
data\non_elderly\45_1_3_20170119183505494.jpg.chip.jpg,45,0
data\aligned_clean\73_1_0_20170110183953439.jpg.chip.jpg,73,1
